@RELATION tweets
  @ATTRIBUTE id string
  @ATTRIBUTE date_time DATE "yyyy-MM-dd HH:mm:ss"
  @ATTRIBUTE hashtags string
  @ATTRIBUTE retweet {'y', 'n'}
  @ATTRIBUTE retweet_count numeric
  @ATTRIBUTE followers_count numeric
  @ATTRIBUTE likes numeric
  @ATTRIBUTE text_content string


  @DATA
'970298922227978240',"2018-03-04 14:04:24",'Oscars','y',4,664741,9,"#Oscars2018: 16 Ways the Academy Awards Can Make History This Year https://t.co/4kFOrJ1BFA https://t.co/bverAcdhvD"
'970298911654019073',"2018-03-04 14:04:22",'Oscars','n',0,247567,2,".@stephenbyrne is live from Hollywood til 4pm with a VERY special #Oscars2018 show!Catch all the interviews, chat2026 https://t.co/QdrXbDICU2"
'970298884319776769',"2018-03-04 14:04:15",'Oscars','n',0,265,0,"Honoring cinema before unfolding this year2019s deserved winners.Paying tribute to those film makers and actors who k2026 https://t.co/yWEwFyTAKi"
'970298868112994305',"2018-03-04 14:04:12",'Oscars','y',5,33866,6,"Life expectancy of poorest women in England falls for first time since the 1920s https://t.co/lRt1Ycip5A And yet th2026 https://t.co/E6DrQoEfJg"
'970298844553424897',"2018-03-04 14:04:06",'Oscars','y',1,164936,5,"Best of luck to Agnes Varda in the Best Documentary Feature category at this Sunday's #Oscars2018. See our full ana2026 https://t.co/ak9M2kKy0"
'970298829424783365',"2018-03-04 14:04:02",'Oscars','y',16,123102,46,"Celebrity #MeToo activism is a turn off for #Oscars2018 viewers. We know vanity when we see it, says Tanya Gold. https://t.co/q6YLwhFr0x"
'970298821073883136',"2018-03-04 14:04:00",'Oscars','y',4,664741,9,"#Oscars2018: 16 Ways the Academy Awards Can Make History This Year https://t.co/4kFOrJ1BFA https://t.co/bverAcdhvD"
'970298819932864515',"2018-03-04 14:04:00",'Oscars','n',0,12124,0,"#TFW you're still catching up on #Oscars #Oscars2018 nominated movies... #Sundaymorning https://t.co/FJMLQGwHcs"
'970298816179200001',"2018-03-04 14:03:59",'Oscars','n',0,3761,0,"The #Oscars2018 cheatsheet: Best Picture nominees, close contests, and a few tough choices https://t.co/wnJowOHJr8 https://t.co/S4R3gLNsy"
'970298799594852352',"2018-03-04 14:03:55",'Oscars','n',0,36073,0,""
